frame_id,positions,sizes,bounding_boxes,colors,distances,relationships
1,"{'Player': (140, 76), 'Ball': (78, 115), 'Enemy': (16, 115)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 76, 4, 15), 'Ball': (78, 115, 2, 4), 'Enemy': (16, 115, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 73.24616030891995, 'Player_Enemy': 129.98846102635417, 'Ball_Enemy': 62.0}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
2,"{'Player': (140, 74), 'Ball': (77, 116), 'Enemy': (16, 115)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 74, 4, 15), 'Ball': (77, 116, 2, 4), 'Enemy': (16, 115, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 75.71657678474378, 'Player_Enemy': 130.60245020672468, 'Ball_Enemy': 61.00819617067857}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
3,"{'Player': (140, 74), 'Ball': (76, 117), 'Enemy': (16, 117)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 74, 4, 15), 'Ball': (76, 117, 2, 4), 'Enemy': (16, 117, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 77.10382610480494, 'Player_Enemy': 131.24404748406687, 'Ball_Enemy': 60.0}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
4,"{'Player': (140, 76), 'Ball': (75, 118), 'Enemy': (16, 117)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 76, 4, 15), 'Ball': (75, 118, 2, 4), 'Enemy': (16, 117, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 77.38862965578342, 'Player_Enemy': 130.60245020672468, 'Ball_Enemy': 59.00847396772772}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
5,"{'Player': (140, 76), 'Ball': (74, 119), 'Enemy': (16, 119)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 76, 4, 15), 'Ball': (74, 119, 2, 4), 'Enemy': (16, 119, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 78.77182237323191, 'Player_Enemy': 131.24404748406687, 'Ball_Enemy': 58.0}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
6,"{'Player': (140, 77), 'Ball': (73, 120), 'Enemy': (16, 119)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 77, 4, 15), 'Ball': (73, 120, 2, 4), 'Enemy': (16, 119, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 79.61155694998057, 'Player_Enemy': 130.91982279242512, 'Ball_Enemy': 57.0087712549569}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
7,"{'Player': (140, 77), 'Ball': (72, 121), 'Enemy': (16, 121)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 77, 4, 15), 'Ball': (72, 121, 2, 4), 'Enemy': (16, 121, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 80.99382692526635, 'Player_Enemy': 131.5750736271882, 'Ball_Enemy': 56.0}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
8,"{'Player': (140, 81), 'Ball': (71, 122), 'Enemy': (16, 121)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 81, 4, 15), 'Ball': (71, 122, 2, 4), 'Enemy': (16, 121, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 80.26207074328447, 'Player_Enemy': 130.29197979921864, 'Ball_Enemy': 55.00909015790027}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
9,"{'Player': (140, 81), 'Ball': (70, 123), 'Enemy': (16, 123)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 81, 4, 15), 'Ball': (70, 123, 2, 4), 'Enemy': (16, 123, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 81.6333265278342, 'Player_Enemy': 130.91982279242512, 'Ball_Enemy': 54.0}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
10,"{'Player': (140, 77), 'Ball': (69, 124), 'Enemy': (16, 123)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 77, 4, 15), 'Ball': (69, 124, 2, 4), 'Enemy': (16, 123, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 85.14693182963201, 'Player_Enemy': 132.25732493892352, 'Ball_Enemy': 53.009433122794285}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
